Model,Best K,Feature,F-score
Random Forest (S1+S2 vs S3),70,f44,175.23336817317815
Random Forest (S1+S2 vs S3),70,f45,171.53345513367995
Random Forest (S1+S2 vs S3),70,f46,169.01830292057267
Random Forest (S1+S2 vs S3),70,f34,154.60524382278507
Random Forest (S1+S2 vs S3),70,f35,152.39200275849691
Random Forest (S1+S2 vs S3),70,f36,149.15714789569867
Random Forest (S1+S2 vs S3),70,f33,133.54566083649965
Random Forest (S1+S2 vs S3),70,f64,111.3281091402057
Random Forest (S1+S2 vs S3),70,f43,110.44466752319339
Random Forest (S1+S2 vs S3),70,f65,109.15652161693093
Random Forest (S1+S2 vs S3),70,f56,74.11153761635569
Random Forest (S1+S2 vs S3),70,f55,73.74497444504141
Random Forest (S1+S2 vs S3),70,f54,68.55927332920567
Random Forest (S1+S2 vs S3),70,f71,44.52068311195451
Random Forest (S1+S2 vs S3),70,f52,40.44767828221624
Random Forest (S1+S2 vs S3),70,f62,38.18814200483836
Random Forest (S1+S2 vs S3),70,f60,28.547926963594342
Random Forest (S1+S2 vs S3),70,f58,28.351503356429284
Random Forest (S1+S2 vs S3),70,f63,23.99303940329759
Random Forest (S1+S2 vs S3),70,f69,23.667218057106194
Random Forest (S1+S2 vs S3),70,f67,23.062405230230304
Random Forest (S1+S2 vs S3),70,f66,22.347213164889595
Random Forest (S1+S2 vs S3),70,f39,16.58808814827221
Random Forest (S1+S2 vs S3),70,f53,15.518302446657499
Random Forest (S1+S2 vs S3),70,f57,15.198585117622148
Random Forest (S1+S2 vs S3),70,f49,15.026384122239413
Random Forest (S1+S2 vs S3),70,f37,14.949862518301481
Random Forest (S1+S2 vs S3),70,f68,13.49472999967993
Random Forest (S1+S2 vs S3),70,f80,13.127687750215975
Random Forest (S1+S2 vs S3),70,f32,12.66157553919117
Random Forest (S1+S2 vs S3),70,f42,12.499650989999134
Random Forest (S1+S2 vs S3),70,f76,11.716324274105121
Random Forest (S1+S2 vs S3),70,f4,11.530786530019418
Random Forest (S1+S2 vs S3),70,f5,10.937076254610476
Random Forest (S1+S2 vs S3),70,f47,10.712663038761757
Random Forest (S1+S2 vs S3),70,f29,10.560354307612752
Random Forest (S1+S2 vs S3),70,f0,10.475582452834766
Random Forest (S1+S2 vs S3),70,f38,10.41336174230742
Random Forest (S1+S2 vs S3),70,f59,10.375801684526161
Random Forest (S1+S2 vs S3),70,f41,10.148360993477295
Random Forest (S1+S2 vs S3),70,f27,9.859036273738742
Random Forest (S1+S2 vs S3),70,f75,9.77758060723642
Random Forest (S1+S2 vs S3),70,f51,9.765267270161809
Random Forest (S1+S2 vs S3),70,f40,9.093270772688971
Random Forest (S1+S2 vs S3),70,f3,9.0333326560662
Random Forest (S1+S2 vs S3),70,f26,9.004823326279164
Random Forest (S1+S2 vs S3),70,f81,8.781954816094036
Random Forest (S1+S2 vs S3),70,f72,8.68239291194155
Random Forest (S1+S2 vs S3),70,f73,7.85947377948645
Random Forest (S1+S2 vs S3),70,f19,7.801512137020181
Random Forest (S1+S2 vs S3),70,f74,7.732506778771085
Random Forest (S1+S2 vs S3),70,f17,7.4262876051903115
Random Forest (S1+S2 vs S3),70,f2,7.261852214503461
Random Forest (S1+S2 vs S3),70,f6,6.573780249241083
Random Forest (S1+S2 vs S3),70,f82,6.427096673609796
Random Forest (S1+S2 vs S3),70,f78,6.420245888255109
Random Forest (S1+S2 vs S3),70,f48,6.219729598142856
Random Forest (S1+S2 vs S3),70,f8,5.674288568386446
Random Forest (S1+S2 vs S3),70,f10,5.531453641074869
Random Forest (S1+S2 vs S3),70,f50,5.374196159233111
Random Forest (S1+S2 vs S3),70,f12,5.298112339150236
Random Forest (S1+S2 vs S3),70,f7,5.254554488754761
Random Forest (S1+S2 vs S3),70,f1,5.249283415980916
Random Forest (S1+S2 vs S3),70,f31,5.237129937777449
Random Forest (S1+S2 vs S3),70,f15,5.051997635461663
Random Forest (S1+S2 vs S3),70,f18,4.615430909529571
Random Forest (S1+S2 vs S3),70,f77,4.416130200627599
Random Forest (S1+S2 vs S3),70,f22,4.225375276133222
Random Forest (S1+S2 vs S3),70,f9,4.1537410564030735
Random Forest (S1+S2 vs S3),70,f13,4.129875174376362
