Model,Best K,Feature,F-score
SVC (S1+S2 vs S3),60,f44,175.23336817317704
SVC (S1+S2 vs S3),60,f45,171.53345513367552
SVC (S1+S2 vs S3),60,f46,169.01830292057187
SVC (S1+S2 vs S3),60,f34,154.60524382278624
SVC (S1+S2 vs S3),60,f35,152.3920027584983
SVC (S1+S2 vs S3),60,f36,149.1571478956928
SVC (S1+S2 vs S3),60,f33,133.54566083650428
SVC (S1+S2 vs S3),60,f64,111.32810914020413
SVC (S1+S2 vs S3),60,f43,110.44466752319133
SVC (S1+S2 vs S3),60,f65,109.15652161692876
SVC (S1+S2 vs S3),60,f56,74.11153761635833
SVC (S1+S2 vs S3),60,f55,73.74497444503078
SVC (S1+S2 vs S3),60,f54,68.55927332921028
SVC (S1+S2 vs S3),60,f71,44.52068311195446
SVC (S1+S2 vs S3),60,f52,40.447678282215946
SVC (S1+S2 vs S3),60,f62,38.1881420048448
SVC (S1+S2 vs S3),60,f60,28.54792696359434
SVC (S1+S2 vs S3),60,f58,28.351503356429387
SVC (S1+S2 vs S3),60,f63,23.99303940329775
SVC (S1+S2 vs S3),60,f69,23.667218057106155
SVC (S1+S2 vs S3),60,f67,23.06240523023028
SVC (S1+S2 vs S3),60,f66,22.347213164889503
SVC (S1+S2 vs S3),60,f39,16.588088148271822
SVC (S1+S2 vs S3),60,f53,15.51830244665754
SVC (S1+S2 vs S3),60,f57,15.198585117622152
SVC (S1+S2 vs S3),60,f49,15.026384122239405
SVC (S1+S2 vs S3),60,f37,14.949862518301584
SVC (S1+S2 vs S3),60,f68,13.494729999681098
SVC (S1+S2 vs S3),60,f80,13.127687750216117
SVC (S1+S2 vs S3),60,f32,12.661575539191183
SVC (S1+S2 vs S3),60,f42,12.499650989999072
SVC (S1+S2 vs S3),60,f76,11.716324274105206
SVC (S1+S2 vs S3),60,f4,11.53078653001981
SVC (S1+S2 vs S3),60,f5,10.937076254610618
SVC (S1+S2 vs S3),60,f47,10.71266303876179
SVC (S1+S2 vs S3),60,f29,10.560354307612647
SVC (S1+S2 vs S3),60,f0,10.475582452834935
SVC (S1+S2 vs S3),60,f38,10.413361742307462
SVC (S1+S2 vs S3),60,f59,10.375801684526301
SVC (S1+S2 vs S3),60,f41,10.14836099347729
SVC (S1+S2 vs S3),60,f27,9.859036273738528
SVC (S1+S2 vs S3),60,f75,9.777580607236485
SVC (S1+S2 vs S3),60,f51,9.765267270161807
SVC (S1+S2 vs S3),60,f40,9.09327077268901
SVC (S1+S2 vs S3),60,f3,9.033332656066046
SVC (S1+S2 vs S3),60,f26,9.004823326278862
SVC (S1+S2 vs S3),60,f81,8.78195481609395
SVC (S1+S2 vs S3),60,f72,8.68239291194152
SVC (S1+S2 vs S3),60,f73,7.859473779486467
SVC (S1+S2 vs S3),60,f19,7.801512137020166
SVC (S1+S2 vs S3),60,f74,7.732506778771099
SVC (S1+S2 vs S3),60,f17,7.426287605190293
SVC (S1+S2 vs S3),60,f2,7.261852214503466
SVC (S1+S2 vs S3),60,f6,6.573780249241064
SVC (S1+S2 vs S3),60,f82,6.427096673609755
SVC (S1+S2 vs S3),60,f78,6.4202458882550575
SVC (S1+S2 vs S3),60,f48,6.219729598142856
SVC (S1+S2 vs S3),60,f8,5.674288568386349
SVC (S1+S2 vs S3),60,f10,5.531453641074857
SVC (S1+S2 vs S3),60,f50,5.374196159233071
